job_id,title,company,description,role_family,industry,employment_type,required_skills,preferred_skills,responsibilities,salary_min,salary_max,salary_currency,salary_period,country,city,region,work_mode,min_years_experience,max_years_experience,experience_level,required_work_authorization,application_deadline,is_active,source_uri
job-0011,Entry Product Analyst,Selangor Systems,"Entry Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,finance,full-time,sql|statistics,python,Analyse product funnels|Run experiments|Report KPIs,2700,3767,SGD,month,Singapore,Singapore,,onsite,0,2,entry,,2026-02-26,true,synthetic://catalog/0011
job-0012,Mid Data Analyst,Merlion Data,"Mid Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,healthcare,full-time,sql|excel,python|power bi|tableau,Build dashboards|Analyse business metrics|Prepare reports,7000,9730,MYR,month,Malaysia,Kuala Lumpur,,hybrid,3,6,mid,,2026-02-13,true,synthetic://catalog/0012
job-0013,Junior Software Engineer,Merlion Data,"Junior Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,finance,part-time,python|sql,docker,Develop services|Write tests|Review code,4000,5159,MYR,month,Malaysia,Cyberjaya,,unspecified,1,3,junior,,2026-03-27,true,synthetic://catalog/0013
job-0014,Intern Data Analyst,Nusantara Tech,"Intern Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,finance,contract,sql|excel,tableau|power bi|python,Build dashboards|Analyse business metrics|Prepare reports,,,,,Malaysia,Penang,,onsite,0,1,intern,,,true,synthetic://catalog/0014
job-0015,Senior Data Scientist,Straits Digital,"Senior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,retail,contract,python|machine learning|statistics,aws|sql,Train models|Analyse data|Communicate findings,10800,15003,SGD,month,Singapore,Singapore,,unspecified,6,10,senior,SG,2026-01-23,true,synthetic://catalog/0015
job-0016,Intern Data Scientist,Penang Analytics,"Intern Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,finance,full-time,python|machine learning|statistics,sql|aws,Train models|Analyse data|Communicate findings,1500,,MYR,month,Malaysia,Kuala Lumpur,,unspecified,0,1,intern,,2025-12-21,false,synthetic://catalog/0016
job-0017,Junior Business Analyst,Merlion Data,"Junior Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,technology,full-time,excel|communication,sql,Gather requirements|Model processes|Support stakeholders,,,,,Malaysia,Cyberjaya,,hybrid,1,3,junior,,2026-04-24,true,synthetic://catalog/0017
job-0018,Entry Sales Analyst,KualaSoft,"Entry Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,healthcare,full-time,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,3000,3856,MYR,month,Malaysia,Penang,,unspecified,0,2,entry,,2026-01-18,true,synthetic://catalog/0018
job-0019,Mid Product Analyst,Merlion Data,"Mid Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,technology,part-time,sql|statistics,python|tableau,Analyse product funnels|Run experiments|Report KPIs,6300,8307,SGD,month,Singapore,Singapore,,unspecified,3,6,mid,SG,,true,synthetic://catalog/0019
job-0020,Mid Data Engineer,Nusantara Tech,"Mid Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,finance,contract,python|sql|etl,aws,Build data pipelines|Maintain warehouses|Optimise ETL,6300,8839,SGD,month,Singapore,Singapore,,hybrid,3,6,mid,SG,,true,synthetic://catalog/0020
job-0021,Senior Data Engineer,Penang Analytics,"Senior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,retail,full-time,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,12000,17201,MYR,month,Malaysia,Kuala Lumpur,,onsite,6,10,senior,,2026-02-13,true,synthetic://catalog/0021
job-0022,Junior Data Scientist,Acme Data,"Junior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,healthcare,part-time,python|machine learning|statistics,sql,Train models|Analyse data|Communicate findings,,,,,Malaysia,Cyberjaya,,remote,1,3,junior,,,true,synthetic://catalog/0022
job-0023,Entry Data Engineer,KualaSoft,"Entry Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,healthcare,part-time,python|sql|etl,aws|docker,Build data pipelines|Maintain warehouses|Optimise ETL,2700,3616,SGD,month,Singapore,Singapore,,remote,0,2,entry,SG,2026-02-11,true,synthetic://catalog/0023
job-0024,Intern Data Scientist,Selangor Systems,"Intern Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,retail,part-time,python|machine learning|statistics,aws,Train models|Analyse data|Communicate findings,1500,1864,MYR,month,Malaysia,Penang,,remote,0,1,intern,,2026-01-01,true,synthetic://catalog/0024
job-0025,Junior Business Analyst,Selangor Systems,"Junior Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,technology,full-time,excel|communication,sql|power bi,Gather requirements|Model processes|Support stakeholders,3600,5627,SGD,month,Singapore,Singapore,,unspecified,1,3,junior,SG,2026-04-02,true,synthetic://catalog/0025
job-0026,Mid Business Analyst,KualaSoft,"Mid Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,technology,contract,excel|communication,power bi,Gather requirements|Model processes|Support stakeholders,6300,7841,SGD,month,Singapore,Singapore,,unspecified,3,6,mid,,,true,synthetic://catalog/0026
job-0027,Intern Business Analyst,Acme Data,"Intern Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,retail,full-time,excel|communication,sql,Gather requirements|Model processes|Support stakeholders,,,,,Malaysia,Johor Bahru,,remote,0,1,intern,,2025-11-02,false,synthetic://catalog/0027
job-0028,Senior Product Analyst,KualaSoft,"Senior Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,healthcare,full-time,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,,,,,Malaysia,Cyberjaya,,hybrid,6,10,senior,,2026-01-31,true,synthetic://catalog/0028
job-0029,Mid Sales Analyst,Hibiscus Labs,"Mid Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,finance,full-time,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,7000,10363,MYR,month,Malaysia,Penang,,remote,3,6,mid,,2026-01-15,true,synthetic://catalog/0029
job-0030,Entry Sales Analyst,Selangor Systems,"Entry Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,retail,part-time,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,3000,4078,MYR,month,Malaysia,Penang,,onsite,0,2,entry,,2026-01-19,true,synthetic://catalog/0030
job-0031,Junior Data Analyst,Orchid AI,"Junior Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,healthcare,part-time,sql|excel,power bi|tableau|python,Build dashboards|Analyse business metrics|Prepare reports,4000,5754,MYR,month,Malaysia,Penang,,remote,1,3,junior,,2026-04-21,true,synthetic://catalog/0031
job-0032,Intern Product Analyst,Penang Analytics,"Intern Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,retail,contract,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,1500,2283,MYR,month,Malaysia,Cyberjaya,,onsite,0,1,intern,,2026-01-01,true,synthetic://catalog/0032
job-0033,Junior Data Engineer,Selangor Systems,"Junior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,finance,full-time,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,4000,5867,MYR,month,Malaysia,Kuala Lumpur,,remote,1,3,junior,,2026-04-10,true,synthetic://catalog/0033
job-0034,Senior Data Engineer,Batik Cloud,"Senior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,retail,contract,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,12000,14401,MYR,month,Malaysia,Johor Bahru,,unspecified,6,10,senior,,2026-03-07,true,synthetic://catalog/0034
job-0035,Mid Data Engineer,Nusantara Tech,"Mid Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,finance,part-time,python|sql|etl,aws|docker,Build data pipelines|Maintain warehouses|Optimise ETL,7000,10258,MYR,month,Malaysia,Penang,,onsite,3,6,mid,,2026-01-01,true,synthetic://catalog/0035
job-0036,Intern Business Analyst,Nusantara Tech,"Intern Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,healthcare,contract,excel|communication,power bi,Gather requirements|Model processes|Support stakeholders,,,,,Malaysia,Kuala Lumpur,,hybrid,0,1,intern,,2026-01-01,true,synthetic://catalog/0036
job-0037,Mid Software Engineer,Nusantara Tech,"Mid Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,healthcare,full-time,python|sql,javascript,Develop services|Write tests|Review code,7000,8415,MYR,month,Malaysia,Penang,,hybrid,3,6,mid,,2025-11-08,false,synthetic://catalog/0037
job-0038,Mid Data Engineer,Hibiscus Labs,"Mid Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,retail,contract,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,,,,,Malaysia,Kuala Lumpur,,hybrid,3,6,mid,,2026-01-28,true,synthetic://catalog/0038
job-0039,Mid Data Scientist,Merlion Data,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,healthcare,part-time,python|machine learning|statistics,aws,Train models|Analyse data|Communicate findings,7000,,MYR,month,Malaysia,Cyberjaya,,remote,3,6,mid,,2025-12-10,false,synthetic://catalog/0039
job-0040,Intern Software Engineer,KualaSoft,"Intern Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,finance,contract,python|sql,docker|javascript|aws,Develop services|Write tests|Review code,1500,1991,MYR,month,Malaysia,Johor Bahru,,hybrid,0,1,intern,,2026-01-28,true,synthetic://catalog/0040
job-0041,Mid Software Engineer,Batik Cloud,"Mid Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,technology,part-time,python|sql,aws|docker,Develop services|Write tests|Review code,7000,8979,MYR,month,Malaysia,Johor Bahru,,unspecified,3,6,mid,,2026-04-19,true,synthetic://catalog/0041
job-0042,Junior Product Analyst,Hibiscus Labs,"Junior Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,finance,contract,sql|statistics,tableau|python,Analyse product funnels|Run experiments|Report KPIs,4000,5975,MYR,month,Malaysia,Cyberjaya,,unspecified,1,3,junior,,2025-12-13,false,synthetic://catalog/0042
job-0043,Junior Software Engineer,Batik Cloud,"Junior Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,technology,contract,python|sql,javascript|docker|aws,Develop services|Write tests|Review code,4000,,MYR,month,Malaysia,Cyberjaya,,hybrid,1,3,junior,,,true,synthetic://catalog/0043
job-0044,Mid Data Scientist,Orchid AI,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,retail,contract,python|machine learning|statistics,aws|sql,Train models|Analyse data|Communicate findings,7000,9128,MYR,month,Malaysia,Penang,,unspecified,3,6,mid,,2026-03-10,true,synthetic://catalog/0044
job-0045,Intern Sales Analyst,Penang Analytics,"Intern Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,technology,part-time,excel|sql,power bi,Analyse sales pipeline|Forecast revenue|Support sales team,1500,,MYR,month,Malaysia,Cyberjaya,,onsite,0,1,intern,,2026-02-24,true,synthetic://catalog/0045
job-0046,Entry Business Analyst,Hibiscus Labs,"Entry Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,retail,contract,excel|communication,sql,Gather requirements|Model processes|Support stakeholders,3000,4168,MYR,month,Malaysia,Kuala Lumpur,,hybrid,0,2,entry,,2026-02-07,true,synthetic://catalog/0046
job-0047,Entry Sales Analyst,Straits Digital,"Entry Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,healthcare,part-time,excel|sql,power bi,Analyse sales pipeline|Forecast revenue|Support sales team,3000,4714,MYR,month,Malaysia,Johor Bahru,,onsite,0,2,entry,,2026-01-01,true,synthetic://catalog/0047
job-0048,Entry Data Engineer,Nusantara Tech,"Entry Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,technology,contract,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,,,,,Malaysia,Kuala Lumpur,,remote,0,2,entry,,2026-01-01,true,synthetic://catalog/0048
job-0049,Junior Data Engineer,Hibiscus Labs,"Junior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,finance,contract,python|sql|etl,docker,Build data pipelines|Maintain warehouses|Optimise ETL,4000,,MYR,month,Malaysia,Kuala Lumpur,,unspecified,1,3,junior,,2026-02-26,true,synthetic://catalog/0049
job-0050,Senior Data Engineer,Penang Analytics,"Senior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,technology,contract,python|sql|etl,aws|docker,Build data pipelines|Maintain warehouses|Optimise ETL,12000,17908,MYR,month,Malaysia,Cyberjaya,,unspecified,6,10,senior,,2026-04-30,true,synthetic://catalog/0050
job-0051,Senior Data Engineer,Orchid AI,"Senior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,retail,contract,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,12000,18484,MYR,month,Malaysia,Cyberjaya,,remote,6,10,senior,,2026-02-07,true,synthetic://catalog/0051
job-0052,Entry Data Engineer,Penang Analytics,"Entry Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,healthcare,part-time,python|sql|etl,docker|aws,Build data pipelines|Maintain warehouses|Optimise ETL,3000,,MYR,month,Malaysia,Kuala Lumpur,,hybrid,0,2,entry,,2026-04-18,true,synthetic://catalog/0052
job-0053,Junior Data Analyst,Hibiscus Labs,"Junior Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,retail,contract,sql|excel,python|tableau|power bi,Build dashboards|Analyse business metrics|Prepare reports,4000,5289,MYR,month,Malaysia,Penang,,unspecified,1,3,junior,,2026-01-01,true,synthetic://catalog/0053
job-0054,Mid Data Scientist,Merlion Data,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,finance,full-time,python|machine learning|statistics,aws,Train models|Analyse data|Communicate findings,7000,8737,MYR,month,Malaysia,Johor Bahru,,remote,3,6,mid,,2026-01-26,true,synthetic://catalog/0054
job-0055,Senior Product Analyst,KualaSoft,"Senior Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,retail,full-time,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,,,,,Singapore,Singapore,,remote,6,10,senior,SG,2025-12-09,false,synthetic://catalog/0055
job-0056,Intern Data Analyst,Acme Data,"Intern Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,retail,contract,sql|excel,tableau|python,Build dashboards|Analyse business metrics|Prepare reports,1350,1688,SGD,month,Singapore,Singapore,,remote,0,1,intern,SG,,true,synthetic://catalog/0056
job-0057,Intern Business Analyst,Acme Data,"Intern Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,finance,full-time,excel|communication,sql|power bi,Gather requirements|Model processes|Support stakeholders,1500,1839,MYR,month,Malaysia,Johor Bahru,,unspecified,0,1,intern,,2026-03-25,true,synthetic://catalog/0057
job-0058,Senior Data Analyst,Selangor Systems,"Senior Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,healthcare,contract,sql|excel,python|power bi|tableau,Build dashboards|Analyse business metrics|Prepare reports,12000,,MYR,month,Malaysia,Cyberjaya,,hybrid,6,10,senior,,2026-03-08,true,synthetic://catalog/0058
job-0059,Entry Sales Analyst,KualaSoft,"Entry Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,technology,contract,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,3000,3788,MYR,month,Malaysia,Penang,,remote,0,2,entry,,2026-01-20,true,synthetic://catalog/0059
job-0060,Entry Data Analyst,Penang Analytics,"Entry Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,retail,part-time,sql|excel,python|power bi|tableau,Build dashboards|Analyse business metrics|Prepare reports,3000,,MYR,month,Malaysia,Johor Bahru,,remote,0,2,entry,,2026-04-08,true,synthetic://catalog/0060
job-0061,Senior Data Analyst,Acme Data,"Senior Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,finance,contract,sql|excel,python|tableau|power bi,Build dashboards|Analyse business metrics|Prepare reports,,,,,Malaysia,Penang,,hybrid,6,10,senior,,2025-12-23,false,synthetic://catalog/0061
job-0062,Mid Data Analyst,Hibiscus Labs,"Mid Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,technology,part-time,sql|excel,tableau,Build dashboards|Analyse business metrics|Prepare reports,,,,,Malaysia,Johor Bahru,,unspecified,3,6,mid,,2026-03-15,true,synthetic://catalog/0062
job-0063,Junior Data Scientist,Batik Cloud,"Junior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,technology,part-time,python|machine learning|statistics,sql|aws,Train models|Analyse data|Communicate findings,3600,4649,SGD,month,Singapore,Singapore,,remote,1,3,junior,,2026-01-01,true,synthetic://catalog/0063
job-0064,Senior Software Engineer,Hibiscus Labs,"Senior Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,technology,contract,python|sql,aws|javascript,Develop services|Write tests|Review code,12000,17209,MYR,month,Malaysia,Cyberjaya,,remote,6,10,senior,,2026-01-01,true,synthetic://catalog/0064
job-0065,Intern Product Analyst,Straits Digital,"Intern Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,technology,contract,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,1500,2097,MYR,month,Malaysia,Penang,,remote,0,1,intern,,2026-01-01,true,synthetic://catalog/0065
job-0066,Junior Product Analyst,Merlion Data,"Junior Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,healthcare,contract,sql|statistics,python,Analyse product funnels|Run experiments|Report KPIs,,,,,Malaysia,Kuala Lumpur,,unspecified,1,3,junior,,2025-12-27,false,synthetic://catalog/0066
job-0067,Junior Data Engineer,Selangor Systems,"Junior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,healthcare,part-time,python|sql|etl,aws|docker,Build data pipelines|Maintain warehouses|Optimise ETL,3600,5414,SGD,month,Singapore,Singapore,,unspecified,1,3,junior,SG,2026-03-22,true,synthetic://catalog/0067
job-0068,Senior Data Scientist,Nusantara Tech,"Senior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,healthcare,full-time,python|machine learning|statistics,aws,Train models|Analyse data|Communicate findings,12000,14465,MYR,month,Malaysia,Penang,,hybrid,6,10,senior,,2026-02-08,true,synthetic://catalog/0068
job-0069,Junior Data Scientist,Straits Digital,"Junior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,finance,part-time,python|machine learning|statistics,sql,Train models|Analyse data|Communicate findings,3600,5014,SGD,month,Singapore,Singapore,,remote,1,3,junior,SG,2026-03-10,true,synthetic://catalog/0069
job-0070,Mid Product Analyst,Batik Cloud,"Mid Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,healthcare,full-time,sql|statistics,tableau|python,Analyse product funnels|Run experiments|Report KPIs,7000,,MYR,month,Malaysia,Johor Bahru,,remote,3,6,mid,,2026-02-18,true,synthetic://catalog/0070
job-0071,Senior Product Analyst,Straits Digital,"Senior Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,finance,contract,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,10800,14350,SGD,month,Singapore,Singapore,,unspecified,6,10,senior,SG,2026-04-10,true,synthetic://catalog/0071
job-0072,Mid Data Scientist,KualaSoft,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,healthcare,full-time,python|machine learning|statistics,aws,Train models|Analyse data|Communicate findings,,,,,Malaysia,Cyberjaya,,unspecified,3,6,mid,,2025-11-16,false,synthetic://catalog/0072
job-0073,Intern Sales Analyst,KualaSoft,"Intern Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,technology,contract,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,1500,2074,MYR,month,Malaysia,Cyberjaya,,onsite,0,1,intern,,2025-12-01,false,synthetic://catalog/0073
job-0074,Intern Data Scientist,Hibiscus Labs,"Intern Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,technology,part-time,python|machine learning|statistics,sql,Train models|Analyse data|Communicate findings,,,,,Malaysia,Johor Bahru,,unspecified,0,1,intern,,2026-01-01,true,synthetic://catalog/0074
job-0075,Junior Data Scientist,Nusantara Tech,"Junior Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,healthcare,full-time,python|machine learning|statistics,sql|aws,Train models|Analyse data|Communicate findings,4000,4957,MYR,month,Malaysia,Penang,,onsite,1,3,junior,,2026-01-01,true,synthetic://catalog/0075
job-0076,Intern Product Analyst,KualaSoft,"Intern Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,finance,full-time,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,1500,1887,MYR,month,Malaysia,Johor Bahru,,remote,0,1,intern,,2026-03-24,true,synthetic://catalog/0076
job-0077,Entry Data Engineer,Acme Data,"Entry Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,healthcare,contract,python|sql|etl,aws,Build data pipelines|Maintain warehouses|Optimise ETL,3000,4365,MYR,month,Malaysia,Cyberjaya,,hybrid,0,2,entry,,2026-04-06,true,synthetic://catalog/0077
job-0078,Junior Software Engineer,Straits Digital,"Junior Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,healthcare,full-time,python|sql,aws,Develop services|Write tests|Review code,3600,4931,SGD,month,Singapore,Singapore,,remote,1,3,junior,SG,2026-04-29,true,synthetic://catalog/0078
job-0079,Junior Data Engineer,Selangor Systems,"Junior Data Engineer at a growing team. Responsibilities: Build data pipelines, Maintain warehouses, Optimise ETL.",data engineer,technology,part-time,python|sql|etl,docker,Build data pipelines|Maintain warehouses|Optimise ETL,,,,,Singapore,Singapore,,remote,1,3,junior,,2026-04-27,true,synthetic://catalog/0079
