scenario_id,job_id,oracle_grade,rater_1,rater_2,adjudicated,gold,gold_source,delta_human_minus_oracle,notes
SC-A-03,job-0173,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-A-04,job-0020,2,2,2,,2,rater_concordant,0,
SC-A-04,job-0037,0,0,0,,0,rater_concordant,0,
SC-A-04,job-0038,0,0,0,,0,rater_concordant,0,
SC-A-04,job-0040,0,0,0,,0,rater_concordant,0,
SC-A-04,job-0041,3,3,3,,3,rater_concordant,0,
SC-A-04,job-0043,0,0,0,,0,rater_concordant,0,
SC-A-04,job-0078,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=False, experience=over."
SC-A-04,job-0118,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-A-04,job-0146,0,0,0,,0,rater_concordant,0,
SC-A-04,job-0194,2,2,2,,2,rater_concordant,0,
SC-A-05,job-0011,3,3,3,,3,rater_concordant,0,
SC-A-05,job-0066,0,0,0,,0,rater_concordant,0,
SC-A-05,job-0086,3,3,3,,3,rater_concordant,0,
SC-A-05,job-0110,3,3,3,,3,rater_concordant,0,
SC-A-05,job-0116,3,3,3,,3,rater_concordant,0,
SC-A-05,job-0125,3,3,3,,3,rater_concordant,0,
SC-A-05,job-0189,0,0,0,,0,rater_concordant,0,
SC-A-06,job-0058,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-A-06,job-0088,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=False, experience=fit."
SC-A-06,job-0095,3,3,3,,3,rater_concordant,0,
SC-A-06,job-0113,3,2,2,,2,rater_concordant,-1,
SC-A-06,job-0121,0,0,0,,0,rater_concordant,0,
SC-A-06,job-0135,0,0,0,,0,rater_concordant,0,
SC-A-06,job-0136,3,0,0,,0,rater_concordant,-3,
SC-A-06,job-0179,3,2,2,,2,rater_concordant,-1,
SC-A-06,job-0187,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-A-06,job-0194,2,1,2,2,2,adjudicated,0,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.57; required-skill-fit=0.67; soft-fit/location=True, mode=True, experience=under."
SC-A-06,job-0197,0,0,0,,0,rater_concordant,0,
SC-B-01,job-0004,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=1.00; required-skill-fit=0.00; soft-fit/location=False, mode=False, experience=fit."
SC-B-01,job-0012,2,2,2,,2,rater_concordant,0,
SC-B-01,job-0031,2,1,1,,1,rater_concordant,-1,
SC-B-01,job-0088,2,2,2,,2,rater_concordant,0,
SC-B-01,job-0128,2,1,2,2,2,adjudicated,0,"Adjudicated 2: strict rater=1, holistic rater=2; role=1.00; required-skill-fit=0.00; soft-fit/location=True, mode=False, experience=under."
SC-B-01,job-0136,2,2,2,,2,rater_concordant,0,
SC-B-01,job-0165,2,2,2,,2,rater_concordant,0,
SC-B-01,job-0187,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=1.00; required-skill-fit=0.00; soft-fit/location=False, mode=None, experience=over."
SC-B-01,job-0196,2,2,2,,2,rater_concordant,0,
SC-B-02,job-0001,0,0,0,,0,rater_concordant,0,
SC-B-02,job-0004,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0014,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0031,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0053,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0056,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0083,0,0,0,,0,rater_concordant,0,
SC-B-02,job-0124,3,3,3,,3,rater_concordant,0,
SC-B-02,job-0173,3,3,3,,3,rater_concordant,0,
SC-B-03,job-0012,3,2,2,,2,rater_concordant,-1,
SC-B-03,job-0088,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-B-03,job-0128,3,2,2,,2,rater_concordant,-1,
SC-B-03,job-0136,3,3,3,,3,rater_concordant,0,
SC-B-03,job-0172,0,0,0,,0,rater_concordant,0,
SC-B-03,job-0196,3,3,3,,3,rater_concordant,0,
SC-B-04,job-0012,2,2,3,2,2,adjudicated,0,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.00; soft-fit/location=True, mode=True, experience=fit."
SC-B-04,job-0088,2,1,2,2,2,adjudicated,0,"Adjudicated 2: strict rater=1, holistic rater=2; role=1.00; required-skill-fit=0.00; soft-fit/location=False, mode=False, experience=fit."
SC-B-04,job-0128,2,2,2,,2,rater_concordant,0,
SC-B-04,job-0136,2,0,0,,0,rater_concordant,-2,
SC-B-04,job-0165,0,0,0,,0,rater_concordant,0,
SC-B-04,job-0171,1,1,2,1,1,adjudicated,0,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.52; required-skill-fit=0.33; soft-fit/location=True, mode=None, experience=fit."
SC-B-04,job-0172,0,0,0,,0,rater_concordant,0,
SC-B-04,job-0187,2,1,2,2,2,adjudicated,0,"Adjudicated 2: strict rater=1, holistic rater=2; role=1.00; required-skill-fit=0.00; soft-fit/location=False, mode=None, experience=over."
SC-B-04,job-0196,2,0,0,,0,rater_concordant,-2,
SC-B-05,job-0001,0,0,0,,0,rater_concordant,0,
SC-B-05,job-0007,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=True, mode=None, experience=fit."
SC-B-05,job-0014,3,3,3,,3,rater_concordant,0,
SC-B-05,job-0017,3,2,2,,2,rater_concordant,-1,
SC-B-05,job-0025,3,2,2,,2,rater_concordant,-1,
SC-B-05,job-0031,3,3,3,,3,rater_concordant,0,
SC-B-05,job-0036,3,2,2,,2,rater_concordant,-1,
SC-B-05,job-0046,3,2,2,,2,rater_concordant,-1,
SC-B-05,job-0138,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=True, mode=None, experience=fit."
SC-B-05,job-0184,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=True, mode=None, experience=fit."
SC-C-01,job-0031,0,0,0,,0,rater_concordant,0,
SC-C-01,job-0033,2,2,3,2,2,adjudicated,0,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.57; required-skill-fit=0.67; soft-fit/location=True, mode=True, experience=fit."
SC-C-01,job-0049,2,2,2,,2,rater_concordant,0,
SC-C-01,job-0053,0,0,0,,0,rater_concordant,0,
SC-C-01,job-0088,0,0,0,,0,rater_concordant,0,
SC-C-01,job-0124,0,0,0,,0,rater_concordant,0,
SC-C-01,job-0128,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-C-01,job-0136,3,0,0,,0,rater_concordant,-3,
SC-C-01,job-0153,2,2,2,,2,rater_concordant,0,
SC-C-01,job-0172,0,0,0,,0,rater_concordant,0,
SC-C-01,job-0173,0,0,0,,0,rater_concordant,0,
SC-C-02,job-0007,2,2,2,,2,rater_concordant,0,
SC-C-02,job-0012,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.55; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-C-02,job-0017,0,0,0,,0,rater_concordant,0,
SC-C-02,job-0046,2,0,0,,0,rater_concordant,-2,
SC-C-02,job-0128,2,0,1,1,1,adjudicated,-1,"Adjudicated 1: strict rater=0, holistic rater=1; role=0.55; required-skill-fit=0.50; soft-fit/location=True, mode=False, experience=under."
SC-C-02,job-0136,2,0,0,,0,rater_concordant,-2,
SC-C-02,job-0138,2,0,0,,0,rater_concordant,-2,
SC-C-02,job-0142,2,2,2,,2,rater_concordant,0,
SC-C-02,job-0175,0,0,0,,0,rater_concordant,0,
SC-C-02,job-0196,2,0,0,,0,rater_concordant,-2,
SC-C-03,job-0012,3,2,2,,2,rater_concordant,-1,
SC-C-03,job-0014,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0031,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0033,2,2,2,,2,rater_concordant,0,
SC-C-03,job-0049,2,2,2,,2,rater_concordant,0,
SC-C-03,job-0053,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0088,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0124,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0128,3,2,2,,2,rater_concordant,-1,
SC-C-03,job-0136,3,0,0,,0,rater_concordant,-3,
SC-C-03,job-0172,0,0,0,,0,rater_concordant,0,
SC-C-03,job-0187,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0012,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0014,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0031,3,3,3,,3,rater_concordant,0,
SC-C-04,job-0053,3,3,3,,3,rater_concordant,0,
SC-C-04,job-0083,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0088,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0128,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0136,0,0,0,,0,rater_concordant,0,
SC-C-04,job-0173,3,2,2,,2,rater_concordant,-1,
SC-C-04,job-0187,0,0,0,,0,rater_concordant,0,
SC-C-05,job-0013,3,0,0,,0,rater_concordant,-3,
SC-C-05,job-0033,2,0,0,,0,rater_concordant,-2,
SC-C-05,job-0041,3,3,3,,3,rater_concordant,0,
SC-C-05,job-0064,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=True, experience=under."
SC-C-05,job-0078,3,3,3,,3,rater_concordant,0,
SC-C-05,job-0084,0,0,0,,0,rater_concordant,0,
SC-C-05,job-0107,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=True, experience=under."
SC-C-05,job-0111,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=True, experience=under."
SC-D-01,job-0012,3,2,2,,2,rater_concordant,-1,
SC-D-01,job-0088,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-D-01,job-0128,3,2,2,,2,rater_concordant,-1,
SC-D-01,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-01,job-0172,0,0,0,,0,rater_concordant,0,
SC-D-01,job-0187,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-D-01,job-0196,3,0,0,,0,rater_concordant,-3,
SC-D-02,job-0007,2,2,3,3,3,adjudicated,1,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.00; soft-fit/location=True, mode=True, experience=fit."
SC-D-02,job-0014,0,0,0,,0,rater_concordant,0,
SC-D-02,job-0031,0,0,0,,0,rater_concordant,0,
SC-D-02,job-0053,0,0,0,,0,rater_concordant,0,
SC-D-02,job-0138,0,0,0,,0,rater_concordant,0,
SC-D-02,job-0142,2,2,2,,2,rater_concordant,0,
SC-D-02,job-0184,0,0,0,,0,rater_concordant,0,
SC-D-02,job-0188,0,0,0,,0,rater_concordant,0,
SC-D-03,job-0012,3,2,2,,2,rater_concordant,-1,
SC-D-03,job-0031,3,3,3,,3,rater_concordant,0,
SC-D-03,job-0053,3,3,3,,3,rater_concordant,0,
SC-D-03,job-0083,0,0,0,,0,rater_concordant,0,
SC-D-03,job-0088,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-D-03,job-0128,3,2,2,,2,rater_concordant,-1,
SC-D-03,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-03,job-0165,0,0,0,,0,rater_concordant,0,
SC-D-03,job-0172,0,0,0,,0,rater_concordant,0,
SC-D-03,job-0196,3,0,0,,0,rater_concordant,-3,
SC-D-04,job-0012,2,2,2,,2,rater_concordant,0,
SC-D-04,job-0066,0,0,0,,0,rater_concordant,0,
SC-D-04,job-0070,3,3,3,,3,rater_concordant,0,
SC-D-04,job-0086,3,3,3,,3,rater_concordant,0,
SC-D-04,job-0110,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-D-04,job-0116,3,0,0,,0,rater_concordant,-3,
SC-D-04,job-0125,3,3,3,,3,rater_concordant,0,
SC-D-04,job-0159,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-D-04,job-0189,0,0,0,,0,rater_concordant,0,
SC-D-05,job-0037,0,0,0,,0,rater_concordant,0,
SC-D-05,job-0040,0,0,0,,0,rater_concordant,0,
SC-D-05,job-0041,3,3,3,,3,rater_concordant,0,
SC-D-05,job-0043,0,0,0,,0,rater_concordant,0,
SC-D-05,job-0064,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-D-05,job-0078,3,3,3,,3,rater_concordant,0,
SC-D-05,job-0107,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-D-05,job-0111,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-D-05,job-0146,0,0,0,,0,rater_concordant,0,
SC-D-06,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-D-06,job-0095,3,3,3,,3,rater_concordant,0,
SC-D-06,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-06,job-0187,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-D-06,job-0196,3,0,0,,0,rater_concordant,-3,
SC-D-07,job-0012,3,2,2,,2,rater_concordant,-1,
SC-D-07,job-0046,3,0,0,,0,rater_concordant,-3,
SC-D-07,job-0088,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=fit."
SC-D-07,job-0128,3,2,2,,2,rater_concordant,-1,
SC-D-07,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-07,job-0172,0,0,0,,0,rater_concordant,0,
SC-D-07,job-0196,3,0,0,,0,rater_concordant,-3,
SC-D-08,job-0031,3,3,3,,3,rater_concordant,0,
SC-D-08,job-0053,3,3,3,,3,rater_concordant,0,
SC-D-08,job-0088,3,3,3,,3,rater_concordant,0,
SC-D-08,job-0128,3,3,3,,3,rater_concordant,0,
SC-D-08,job-0157,0,0,0,,0,rater_concordant,0,
SC-D-08,job-0173,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-D-09,job-0020,2,2,2,,2,rater_concordant,0,
SC-D-09,job-0021,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.59; required-skill-fit=0.67; soft-fit/location=True, mode=False, experience=under."
SC-D-09,job-0033,2,0,0,,0,rater_concordant,-2,
SC-D-09,job-0037,0,0,0,,0,rater_concordant,0,
SC-D-09,job-0038,0,0,0,,0,rater_concordant,0,
SC-D-09,job-0041,3,3,3,,3,rater_concordant,0,
SC-D-09,job-0078,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=False, experience=over."
SC-D-09,job-0118,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-D-09,job-0153,2,0,0,,0,rater_concordant,-2,
SC-D-09,job-0163,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.59; required-skill-fit=0.67; soft-fit/location=True, mode=False, experience=under."
SC-D-09,job-0169,2,0,0,,0,rater_concordant,-2,
SC-D-09,job-0194,2,2,2,,2,rater_concordant,0,
SC-D-10,job-0011,3,3,3,,3,rater_concordant,0,
SC-D-10,job-0042,0,0,0,,0,rater_concordant,0,
SC-D-10,job-0066,0,0,0,,0,rater_concordant,0,
SC-D-10,job-0110,3,3,3,,3,rater_concordant,0,
SC-D-10,job-0116,3,3,3,,3,rater_concordant,0,
SC-D-10,job-0117,0,1,2,1,1,adjudicated,1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.40; required-skill-fit=0.67; soft-fit/location=False, mode=True, experience=fit."
SC-D-10,job-0159,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=under."
SC-D-10,job-0161,0,0,2,1,1,adjudicated,1,"Adjudicated 1: strict rater=0, holistic rater=2; role=0.40; required-skill-fit=0.67; soft-fit/location=False, mode=True, experience=under."
SC-D-10,job-0185,0,1,2,2,2,adjudicated,2,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.40; required-skill-fit=0.67; soft-fit/location=False, mode=True, experience=fit."
SC-D-10,job-0198,3,3,3,,3,rater_concordant,0,
SC-D-11,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-D-11,job-0049,2,2,2,,2,rater_concordant,0,
SC-D-11,job-0095,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=True, experience=over."
SC-D-11,job-0128,3,2,2,,2,rater_concordant,-1,
SC-D-11,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-11,job-0165,0,0,0,,0,rater_concordant,0,
SC-D-11,job-0196,3,0,0,,0,rater_concordant,-3,
SC-D-12,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-D-12,job-0049,2,2,2,,2,rater_concordant,0,
SC-D-12,job-0095,0,0,0,,0,rater_concordant,0,
SC-D-12,job-0136,3,0,0,,0,rater_concordant,-3,
SC-D-12,job-0153,2,2,2,,2,rater_concordant,0,
SC-D-12,job-0187,0,0,0,,0,rater_concordant,0,
SC-D-12,job-0196,3,0,0,,0,rater_concordant,-3,
SC-E-01,job-0004,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-E-01,job-0031,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0088,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0095,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0136,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0165,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0187,0,0,0,,0,rater_concordant,0,
SC-E-01,job-0196,3,0,0,,0,rater_concordant,-3,
SC-E-02,job-0012,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0017,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0088,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0101,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0128,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0133,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0136,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0142,0,0,0,,0,rater_concordant,0,
SC-E-02,job-0172,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0004,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0031,3,3,3,,3,rater_concordant,0,
SC-E-03,job-0053,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0083,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0088,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0136,0,0,0,,0,rater_concordant,0,
SC-E-03,job-0173,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-E-03,job-0187,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0009,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0037,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0038,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0041,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0064,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0078,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0118,0,0,0,,0,rater_concordant,0,
SC-E-04,job-0146,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0011,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0012,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.53; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-E-05,job-0042,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0066,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0108,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0116,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0159,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0164,0,0,0,,0,rater_concordant,0,
SC-E-05,job-0196,2,0,0,,0,rater_concordant,-2,
SC-F-01,job-0004,3,2,2,,2,rater_concordant,-1,
SC-F-01,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-F-01,job-0031,3,2,2,,2,rater_concordant,-1,
SC-F-01,job-0088,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=False, experience=fit."
SC-F-01,job-0095,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=True, experience=over."
SC-F-01,job-0136,3,3,3,,3,rater_concordant,0,
SC-F-01,job-0165,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-F-01,job-0187,3,2,2,,2,rater_concordant,-1,
SC-F-01,job-0196,3,3,3,,3,rater_concordant,0,
SC-F-02,job-0007,3,3,3,,3,rater_concordant,0,
SC-F-02,job-0017,3,3,3,,3,rater_concordant,0,
SC-F-02,job-0053,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=True, mode=None, experience=fit."
SC-F-02,job-0088,3,1,2,2,2,adjudicated,-1,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.55; required-skill-fit=1.00; soft-fit/location=False, mode=False, experience=fit."
SC-F-02,job-0101,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=False, experience=fit."
SC-F-02,job-0136,3,1,2,2,2,adjudicated,-1,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.55; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=over."
SC-F-02,job-0138,3,3,3,,3,rater_concordant,0,
SC-F-02,job-0142,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=False, experience=fit."
SC-F-02,job-0184,3,3,3,,3,rater_concordant,0,
SC-F-03,job-0004,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=None, mode=False, experience=fit."
SC-F-03,job-0031,3,3,3,,3,rater_concordant,0,
SC-F-03,job-0060,3,3,3,,3,rater_concordant,0,
SC-F-03,job-0088,3,3,3,,3,rater_concordant,0,
SC-F-03,job-0113,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=None, mode=True, experience=under."
